Student_ID,Major_Category,Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Primary_Use_Case,Post_Semester_GPA,Skill_Retention_Score
105877,Arts,Junior,3.414,1.71,Summarizing_Reading,3.333,70.79
105878,Business,Sophomore,3.495,0.09,Ideation,3.472,81.8
105879,Humanities,Senior,1.47,20.75,Ideation,1.903,51.56
105880,Humanities,Sophomore,3.658,6.32,Copywriting/Drafting,4.0,100.0
105881,STEM,Junior,2.798,11.59,Debugging/Troubleshooting,3.306,84.67
105882,Business,Sophomore,3.543,2.9,Ideation,3.673,53.9
105883,Humanities,Sophomore,2.839,28.92,Copywriting/Drafting,2.865,77.22
105884,Medical,Senior,3.477,7.47,Ideation,3.919,79.09
105885,Humanities,Graduate,1.733,10.23,Copywriting/Drafting,2.324,79.84
105886,Humanities,Graduate,1.859,22.72,Direct_Answer_Generation,1.851,38.5
105887,Business,Freshman,3.187,9.9,Copywriting/Drafting,3.411,87.05
105888,Medical,Junior,3.863,1.45,Summarizing_Reading,3.953,63.57
105889,Arts,Senior,3.696,0.67,Summarizing_Reading,4.0,100.0
105890,Humanities,Junior,3.841,8.59,Copywriting/Drafting,4.0,95.64
105891,Business,Senior,3.708,0.03,Summarizing_Reading,3.665,63.41
105892,Business,Graduate,2.834,6.01,Ideation,3.208,50.07
105893,Humanities,Sophomore,2.669,2.49,Ideation,2.618,71.49
105894,STEM,Senior,3.689,25.84,Copywriting/Drafting,3.76,62.07
105895,Humanities,Freshman,2.92,7.55,Direct_Answer_Generation,3.238,62.93
105896,STEM,Graduate,2.635,31.35,Debugging/Troubleshooting,2.588,60.95
105897,Medical,Senior,3.195,7.8,Summarizing_Reading,3.369,68.35
105898,Humanities,Junior,3.264,2.17,Copywriting/Drafting,3.21,60.87
105899,Medical,Senior,2.994,32.97,Ideation,3.089,65.37
105900,Business,Senior,2.673,6.97,Ideation,2.995,90.51
105901,Business,Junior,2.184,1.31,Ideation,2.483,56.88
105902,Business,Graduate,3.458,12.93,Ideation,3.681,90.89
105903,STEM,Freshman,3.607,15.9,Debugging/Troubleshooting,3.855,73.37
105904,Humanities,Graduate,3.549,3.63,Copywriting/Drafting,3.711,85.96
105905,STEM,Freshman,2.951,9.69,Ideation,3.06,64.9
105906,Business,Junior,2.09,4.64,Direct_Answer_Generation,2.539,63.15
105907,Humanities,Sophomore,3.704,10.4,Summarizing_Reading,3.754,74.08
105908,Arts,Sophomore,2.392,6.26,Debugging/Troubleshooting,2.721,76.24
105909,STEM,Junior,3.341,3.68,Ideation,3.686,68.71
105910,STEM,Freshman,3.593,0.87,Debugging/Troubleshooting,3.995,82.14
105911,Humanities,Graduate,3.049,5.44,Debugging/Troubleshooting,3.307,100.0
105912,Medical,Sophomore,2.834,12.96,Summarizing_Reading,2.892,70.94
105913,Business,Sophomore,3.78,0.45,Debugging/Troubleshooting,3.839,90.6
105914,Humanities,Graduate,3.094,2.32,Copywriting/Drafting,3.267,85.94
105915,Business,Senior,3.095,14.99,Ideation,3.456,88.28
105916,STEM,Senior,3.543,20.25,Debugging/Troubleshooting,3.889,100.0
105917,Medical,Freshman,3.61,8.51,Debugging/Troubleshooting,3.589,58.63
105918,Business,Senior,3.025,13.8,Ideation,3.472,87.19
105919,STEM,Sophomore,3.598,19.73,Summarizing_Reading,3.513,68.76
105920,Business,Graduate,3.889,17.61,Ideation,4.0,78.54
105921,STEM,Senior,3.243,9.09,Debugging/Troubleshooting,3.747,100.0
105922,Medical,Senior,3.306,28.78,Copywriting/Drafting,3.646,66.95
105923,STEM,Senior,3.394,6.14,Direct_Answer_Generation,3.567,94.91
105924,Business,Junior,3.802,1.49,Ideation,4.0,79.54
105925,STEM,Senior,2.256,3.61,Direct_Answer_Generation,2.528,56.78
105926,Business,Junior,3.296,17.65,Copywriting/Drafting,3.761,83.22
105927,Arts,Freshman,2.58,5.56,Direct_Answer_Generation,2.75,79.39
105928,Business,Sophomore,3.377,23.76,Debugging/Troubleshooting,3.907,91.24
105929,Business,Sophomore,2.982,30.33,Debugging/Troubleshooting,3.011,47.95
105930,Medical,Senior,3.355,24.89,Summarizing_Reading,3.673,73.91
105931,STEM,Junior,3.373,2.9,Debugging/Troubleshooting,3.442,73.33
105932,Humanities,Junior,3.621,5.62,Debugging/Troubleshooting,4.0,100.0
105933,STEM,Senior,3.809,40.0,Debugging/Troubleshooting,4.0,49.72
105934,Medical,Junior,3.614,2.58,Summarizing_Reading,3.955,81.71
105935,Humanities,Freshman,3.249,5.02,Summarizing_Reading,3.566,86.04
105936,Business,Freshman,2.55,30.18,Ideation,2.492,69.17
105937,Business,Freshman,2.778,2.09,Ideation,3.205,61.77
105938,STEM,Freshman,2.886,2.81,Debugging/Troubleshooting,3.041,100.0
105939,STEM,Sophomore,3.443,5.18,Summarizing_Reading,3.545,84.17
105940,STEM,Junior,3.557,1.42,Summarizing_Reading,3.768,64.15
105941,Humanities,Freshman,2.737,2.38,Copywriting/Drafting,2.944,89.97
105942,STEM,Freshman,2.771,4.01,Debugging/Troubleshooting,3.187,86.98
105943,STEM,Graduate,3.614,4.53,Direct_Answer_Generation,3.694,96.85
105944,Medical,Graduate,1.697,1.05,Direct_Answer_Generation,1.723,50.19
105945,Medical,Junior,3.708,2.03,Summarizing_Reading,3.935,58.07
105946,Humanities,Freshman,3.104,3.18,Debugging/Troubleshooting,3.012,88.47
105947,Humanities,Senior,2.626,1.25,Debugging/Troubleshooting,2.776,100.0
105948,STEM,Junior,3.667,3.08,Ideation,3.762,72.13
105949,Business,Freshman,3.638,3.98,Ideation,4.0,60.94
105950,Arts,Junior,3.609,4.29,Summarizing_Reading,3.921,93.6
105951,STEM,Freshman,3.011,1.05,Debugging/Troubleshooting,3.145,77.42
105952,STEM,Graduate,2.809,6.88,Direct_Answer_Generation,3.54,76.47
105953,Arts,Senior,3.214,3.66,Summarizing_Reading,3.448,92.29
105954,Business,Sophomore,2.836,6.4,Ideation,2.879,63.53
105955,STEM,Sophomore,3.61,0.37,Debugging/Troubleshooting,3.97,100.0
105956,Business,Sophomore,3.751,12.49,Ideation,4.0,58.97
105957,Humanities,Graduate,2.651,2.69,Summarizing_Reading,2.996,97.76
105958,Humanities,Sophomore,3.058,10.43,Direct_Answer_Generation,3.373,95.61
105959,Arts,Freshman,3.408,9.67,Copywriting/Drafting,3.58,67.67
105960,Arts,Freshman,3.456,6.46,Copywriting/Drafting,3.837,80.14
105961,Humanities,Freshman,3.249,3.23,Summarizing_Reading,3.065,74.06
105962,Medical,Graduate,3.182,14.28,Summarizing_Reading,3.399,74.48
105963,Humanities,Graduate,2.317,2.78,Copywriting/Drafting,2.45,59.7
105964,Arts,Sophomore,2.261,2.74,Summarizing_Reading,2.639,97.97
105965,Humanities,Freshman,3.847,7.2,Copywriting/Drafting,3.852,48.42
105966,Medical,Junior,3.964,6.28,Summarizing_Reading,4.0,76.57
105967,Medical,Senior,3.397,9.53,Debugging/Troubleshooting,3.624,75.17
105968,STEM,Sophomore,3.245,7.11,Debugging/Troubleshooting,3.585,56.88
105969,Medical,Junior,3.089,0.88,Copywriting/Drafting,3.536,76.46
105970,Arts,Freshman,3.478,4.91,Ideation,3.637,63.78
105971,Arts,Sophomore,3.49,6.58,Summarizing_Reading,3.812,82.21
105972,STEM,Senior,3.472,4.25,Direct_Answer_Generation,3.944,63.9
105973,Arts,Junior,3.68,4.79,Copywriting/Drafting,3.633,78.23
105974,Arts,Junior,3.75,5.83,Copywriting/Drafting,3.756,66.24
105975,STEM,Senior,3.726,6.43,Direct_Answer_Generation,4.0,73.88
105976,Medical,Senior,3.25,2.15,Summarizing_Reading,3.494,64.8
105977,STEM,Freshman,3.823,21.86,Debugging/Troubleshooting,4.0,64.35
105978,STEM,Sophomore,2.801,29.18,Summarizing_Reading,3.094,85.56
105979,Business,Senior,2.371,5.79,Debugging/Troubleshooting,2.541,76.53
105980,Business,Junior,3.761,1.57,Ideation,3.955,91.38
105981,Business,Senior,2.887,9.28,Debugging/Troubleshooting,3.526,100.0
105982,STEM,Sophomore,2.887,8.62,Debugging/Troubleshooting,3.007,68.35
105983,Medical,Freshman,3.334,2.41,Copywriting/Drafting,3.324,63.89
105984,STEM,Freshman,3.174,12.92,Summarizing_Reading,3.607,98.21
105985,STEM,Sophomore,2.387,34.39,Debugging/Troubleshooting,2.512,54.43
105986,STEM,Sophomore,2.049,34.48,Direct_Answer_Generation,1.574,32.43
105987,Business,Graduate,3.299,23.59,Ideation,3.534,73.75
105988,Medical,Junior,2.757,12.52,Summarizing_Reading,2.966,80.99
105989,Business,Junior,3.683,1.4,Debugging/Troubleshooting,3.844,69.13
105990,Arts,Senior,3.541,2.49,Copywriting/Drafting,3.471,82.2
105991,STEM,Junior,3.387,24.49,Debugging/Troubleshooting,4.0,88.65
105992,Business,Senior,2.64,18.16,Ideation,2.522,63.02
105993,Humanities,Senior,3.825,6.01,Summarizing_Reading,4.0,77.81
105994,Humanities,Sophomore,3.04,4.99,Copywriting/Drafting,3.115,54.7
105995,STEM,Freshman,3.589,3.03,Debugging/Troubleshooting,4.0,84.86
105996,Business,Graduate,2.91,6.49,Ideation,3.198,80.51
105997,Business,Senior,2.97,10.53,Ideation,3.235,66.13
105998,Arts,Senior,3.42,2.64,Copywriting/Drafting,3.919,89.12
105999,Humanities,Senior,2.783,2.5,Copywriting/Drafting,2.877,61.98
106000,STEM,Junior,3.709,4.53,Ideation,4.0,67.16
106001,Business,Junior,3.586,1.08,Debugging/Troubleshooting,3.766,84.19
106002,STEM,Graduate,2.786,3.67,Debugging/Troubleshooting,2.796,83.01
106003,Medical,Senior,3.5,23.94,Summarizing_Reading,3.439,78.9
106004,Business,Senior,3.19,8.18,Ideation,3.561,65.25
106005,STEM,Junior,2.289,0.84,Direct_Answer_Generation,2.466,82.69
106006,Medical,Graduate,3.262,19.81,Direct_Answer_Generation,2.896,81.4
106007,Business,Senior,3.502,3.93,Direct_Answer_Generation,3.811,62.42
106008,STEM,Senior,2.962,7.11,Debugging/Troubleshooting,3.35,100.0
106009,Business,Freshman,3.574,0.86,Summarizing_Reading,3.712,98.91
106010,STEM,Junior,3.135,4.71,Debugging/Troubleshooting,3.298,64.81
106011,Arts,Sophomore,2.577,31.47,Summarizing_Reading,2.666,77.73
106012,Arts,Senior,3.301,8.14,Copywriting/Drafting,3.447,95.83
106013,Medical,Junior,2.917,1.17,Debugging/Troubleshooting,3.412,98.33
106014,Business,Freshman,3.182,4.31,Ideation,3.492,84.11
106015,Humanities,Junior,3.558,1.65,Copywriting/Drafting,3.686,71.72
106016,Arts,Junior,3.888,3.34,Copywriting/Drafting,4.0,71.87
106017,STEM,Senior,2.511,2.58,Debugging/Troubleshooting,2.828,81.47
106018,Business,Junior,3.321,12.68,Ideation,3.74,77.97
106019,Business,Junior,2.761,6.22,Ideation,2.981,67.29
106020,STEM,Senior,2.209,6.94,Ideation,2.325,79.91
106021,Humanities,Senior,3.328,2.79,Copywriting/Drafting,3.463,90.14
106022,Arts,Graduate,3.011,15.21,Debugging/Troubleshooting,3.452,100.0
106023,Arts,Sophomore,3.266,14.96,Summarizing_Reading,3.445,91.34
106024,STEM,Senior,3.21,22.73,Debugging/Troubleshooting,3.117,74.5
106025,STEM,Freshman,3.613,0.67,Summarizing_Reading,3.841,69.06
106026,STEM,Senior,3.281,9.83,Debugging/Troubleshooting,3.589,60.81
106027,Medical,Senior,2.897,1.51,Debugging/Troubleshooting,3.448,77.77
106028,STEM,Senior,3.379,17.58,Debugging/Troubleshooting,3.638,58.71
106029,Business,Freshman,3.124,0.79,Ideation,3.172,54.84
106030,STEM,Graduate,3.711,3.06,Ideation,4.0,87.96
106031,Business,Graduate,3.038,19.22,Ideation,3.019,87.62
106032,Humanities,Sophomore,2.855,3.12,Summarizing_Reading,2.67,37.81
106033,Arts,Junior,2.5,9.32,Summarizing_Reading,2.727,56.78
106034,STEM,Graduate,3.841,11.7,Debugging/Troubleshooting,4.0,72.45
106035,Business,Junior,3.42,0.97,Ideation,3.839,60.66
106036,STEM,Junior,3.654,23.39,Debugging/Troubleshooting,3.864,100.0
106037,Business,Junior,3.636,1.81,Summarizing_Reading,3.998,83.62
106038,Medical,Senior,3.842,6.52,Summarizing_Reading,4.0,77.56
106039,STEM,Junior,3.613,20.13,Copywriting/Drafting,3.724,85.08
106040,Arts,Sophomore,2.991,29.83,Copywriting/Drafting,3.266,74.66
106041,Business,Junior,3.098,6.05,Ideation,3.377,71.45
106042,STEM,Graduate,2.789,13.07,Summarizing_Reading,2.946,93.33
106043,Humanities,Graduate,3.498,1.94,Copywriting/Drafting,4.0,100.0
106044,STEM,Senior,2.22,10.24,Ideation,2.239,69.36
106045,Business,Sophomore,3.498,4.07,Ideation,3.638,80.94
106046,Arts,Senior,2.639,11.8,Copywriting/Drafting,2.911,66.06
106047,STEM,Sophomore,3.561,8.35,Ideation,3.7,100.0
106048,Business,Senior,3.718,2.34,Copywriting/Drafting,3.974,96.39
106049,Arts,Junior,3.598,7.95,Copywriting/Drafting,3.667,76.66
106050,Medical,Sophomore,3.199,9.94,Direct_Answer_Generation,3.365,87.35
106051,Business,Junior,3.344,6.89,Ideation,3.565,100.0
106052,Medical,Senior,3.317,2.32,Debugging/Troubleshooting,3.621,67.98
106053,Business,Graduate,3.472,5.9,Ideation,3.918,80.22
106054,Humanities,Freshman,3.334,1.66,Copywriting/Drafting,3.461,68.1
106055,Arts,Junior,2.894,3.76,Copywriting/Drafting,3.028,87.63
106056,Humanities,Junior,3.364,1.79,Copywriting/Drafting,3.955,72.45
106057,Humanities,Junior,2.579,12.49,Ideation,2.791,80.44
106058,Humanities,Graduate,2.954,13.62,Ideation,3.168,92.2
106059,Arts,Junior,3.144,21.96,Copywriting/Drafting,3.532,96.49
106060,Arts,Senior,2.918,10.1,Direct_Answer_Generation,3.213,94.37
106061,Humanities,Senior,3.232,3.33,Ideation,3.434,59.36
106062,Humanities,Freshman,3.882,21.3,Copywriting/Drafting,3.727,79.93
106063,Humanities,Senior,3.448,2.13,Ideation,4.0,100.0
106064,Business,Senior,3.609,3.24,Direct_Answer_Generation,4.0,94.68
106065,STEM,Senior,2.952,6.14,Copywriting/Drafting,3.253,81.71
106066,Arts,Freshman,3.0,6.42,Copywriting/Drafting,3.104,80.13
106067,Humanities,Sophomore,2.662,2.7,Direct_Answer_Generation,2.915,58.77
106068,Humanities,Senior,3.422,5.27,Copywriting/Drafting,3.5,100.0
106069,STEM,Sophomore,3.951,3.32,Debugging/Troubleshooting,4.0,99.81
106070,STEM,Graduate,2.914,11.71,Summarizing_Reading,3.272,70.8
106071,Medical,Junior,2.936,0.67,Ideation,3.066,49.7
106072,Humanities,Freshman,2.489,12.34,Copywriting/Drafting,2.92,86.48
106073,STEM,Senior,3.156,8.54,Debugging/Troubleshooting,3.469,74.81
106074,Humanities,Junior,3.248,7.16,Copywriting/Drafting,3.47,79.03
106075,Humanities,Sophomore,2.482,18.74,Copywriting/Drafting,2.536,63.14
106076,STEM,Freshman,3.826,13.49,Direct_Answer_Generation,4.0,100.0
106077,Humanities,Freshman,3.484,1.06,Ideation,3.643,91.49
106078,Business,Freshman,3.38,36.2,Summarizing_Reading,3.382,74.14
106079,Business,Junior,3.524,0.9,Ideation,3.886,90.92
106080,Humanities,Senior,2.04,6.7,Direct_Answer_Generation,2.329,62.78
106081,Humanities,Sophomore,2.191,1.5,Copywriting/Drafting,2.629,69.16
106082,Medical,Senior,3.841,1.54,Summarizing_Reading,4.0,83.86
106083,Humanities,Graduate,3.194,0.79,Debugging/Troubleshooting,3.324,71.36
106084,STEM,Junior,3.075,10.05,Direct_Answer_Generation,3.208,83.6
106085,STEM,Senior,2.977,3.0,Direct_Answer_Generation,3.348,65.8
106086,Humanities,Freshman,3.636,0.68,Ideation,3.636,82.18
106087,Arts,Freshman,3.549,0.32,Summarizing_Reading,3.306,69.34
106088,STEM,Sophomore,2.967,17.55,Direct_Answer_Generation,2.777,65.4
106089,Business,Senior,3.098,7.56,Debugging/Troubleshooting,3.314,71.45
106090,STEM,Senior,3.497,7.29,Debugging/Troubleshooting,3.672,95.64
106091,Humanities,Graduate,3.165,4.52,Copywriting/Drafting,3.333,75.01
106092,Arts,Junior,3.583,2.32,Ideation,3.833,90.98
106093,Humanities,Sophomore,3.453,0.96,Direct_Answer_Generation,3.704,59.05
106094,Business,Senior,3.483,7.78,Ideation,3.638,79.69
106095,STEM,Freshman,3.008,2.89,Debugging/Troubleshooting,3.003,73.82
106096,Business,Senior,2.931,17.07,Direct_Answer_Generation,3.166,74.37
106097,STEM,Sophomore,2.268,9.34,Debugging/Troubleshooting,2.623,100.0
106098,Arts,Freshman,2.534,3.28,Direct_Answer_Generation,2.776,96.81
106099,STEM,Freshman,3.916,14.93,Debugging/Troubleshooting,4.0,73.76
106100,Medical,Graduate,3.532,2.15,Debugging/Troubleshooting,4.0,70.2
106101,Humanities,Junior,3.123,12.87,Copywriting/Drafting,3.392,89.42
106102,Business,Freshman,3.256,2.32,Copywriting/Drafting,3.242,50.13
106103,Humanities,Sophomore,2.988,17.63,Ideation,2.996,86.49
106104,Medical,Sophomore,3.358,4.01,Summarizing_Reading,3.326,72.94
106105,STEM,Freshman,2.807,0.74,Copywriting/Drafting,2.741,82.27
106106,STEM,Freshman,3.848,22.69,Debugging/Troubleshooting,4.0,100.0
106107,Humanities,Senior,2.559,17.59,Summarizing_Reading,2.832,54.61
106108,STEM,Senior,2.992,21.17,Debugging/Troubleshooting,3.356,97.98
106109,STEM,Graduate,2.711,4.12,Ideation,2.792,96.65
106110,Medical,Freshman,3.529,8.25,Summarizing_Reading,3.633,80.72
106111,Medical,Graduate,2.75,4.62,Summarizing_Reading,3.145,73.09
106112,Humanities,Sophomore,3.398,3.1,Ideation,3.297,74.42
106113,Medical,Sophomore,2.962,11.08,Summarizing_Reading,3.083,83.54
106114,Business,Freshman,2.639,23.82,Summarizing_Reading,2.647,49.96
106115,STEM,Graduate,2.414,31.8,Summarizing_Reading,2.754,79.96
106116,Business,Graduate,2.608,17.6,Ideation,3.017,68.49
106117,Business,Graduate,3.151,3.92,Summarizing_Reading,3.796,96.01
106118,Medical,Freshman,3.369,6.38,Ideation,3.681,58.82
106119,STEM,Senior,3.684,7.23,Debugging/Troubleshooting,4.0,100.0
106120,Business,Junior,3.161,9.85,Direct_Answer_Generation,3.364,89.06
106121,STEM,Freshman,3.169,1.5,Debugging/Troubleshooting,3.738,72.18
106122,STEM,Sophomore,3.691,8.83,Debugging/Troubleshooting,4.0,80.33
106123,STEM,Senior,3.515,3.11,Debugging/Troubleshooting,3.779,72.11
106124,Medical,Senior,3.473,7.96,Summarizing_Reading,3.781,68.07
106125,Arts,Senior,3.697,18.13,Copywriting/Drafting,4.0,73.14
106126,Arts,Junior,3.18,7.22,Ideation,3.51,81.34
106127,Business,Junior,2.454,10.78,Debugging/Troubleshooting,2.616,60.14
106128,Humanities,Senior,3.456,19.73,Summarizing_Reading,3.714,64.06
106129,STEM,Senior,3.304,21.91,Summarizing_Reading,3.664,81.92
106130,STEM,Freshman,2.648,18.9,Debugging/Troubleshooting,2.411,58.99
106131,Humanities,Senior,2.86,0.35,Debugging/Troubleshooting,2.879,82.92
106132,Arts,Sophomore,3.019,2.93,Copywriting/Drafting,3.025,72.89
106133,Business,Sophomore,2.63,7.04,Summarizing_Reading,2.973,77.59
106134,STEM,Freshman,2.825,15.71,Direct_Answer_Generation,2.321,73.55
106135,STEM,Junior,3.659,13.35,Summarizing_Reading,3.817,56.93
106136,STEM,Freshman,2.987,13.92,Summarizing_Reading,3.319,73.29
106137,Humanities,Graduate,2.713,4.67,Ideation,3.022,85.92
106138,Medical,Junior,2.764,2.39,Ideation,2.894,45.26
106139,Business,Graduate,3.937,2.99,Debugging/Troubleshooting,4.0,63.68
106140,Arts,Sophomore,3.743,4.83,Summarizing_Reading,3.691,65.7
106141,Humanities,Senior,2.489,9.59,Copywriting/Drafting,2.933,63.54
106142,Humanities,Graduate,3.166,0.45,Copywriting/Drafting,3.216,100.0
106143,STEM,Sophomore,2.507,5.16,Copywriting/Drafting,2.914,88.28
106144,Medical,Freshman,3.617,1.82,Debugging/Troubleshooting,3.686,51.24
106145,Arts,Junior,3.031,3.05,Debugging/Troubleshooting,3.485,75.35
106146,STEM,Sophomore,2.428,15.57,Debugging/Troubleshooting,3.069,74.99
106147,Business,Sophomore,2.844,23.33,Summarizing_Reading,3.131,81.77
106148,Humanities,Graduate,3.64,25.24,Copywriting/Drafting,4.0,78.63
106149,Business,Senior,3.696,6.49,Direct_Answer_Generation,4.0,90.41
106150,Medical,Junior,2.854,8.47,Summarizing_Reading,3.082,80.8
106151,Business,Freshman,3.064,7.47,Ideation,3.038,62.26
106152,Business,Freshman,3.353,12.37,Ideation,3.439,78.18
106153,STEM,Sophomore,2.635,3.94,Debugging/Troubleshooting,3.261,73.13
106154,STEM,Junior,3.599,15.42,Ideation,3.875,66.13
106155,STEM,Junior,2.993,0.41,Debugging/Troubleshooting,3.093,58.74
106156,STEM,Freshman,3.046,21.92,Debugging/Troubleshooting,2.82,72.61
106157,Business,Graduate,3.967,9.14,Ideation,4.0,100.0
106158,Business,Junior,2.564,2.59,Summarizing_Reading,2.694,65.26
106159,STEM,Freshman,2.808,40.0,Copywriting/Drafting,2.921,64.06
106160,Arts,Senior,3.566,14.66,Ideation,3.751,74.69
106161,STEM,Freshman,3.174,4.05,Debugging/Troubleshooting,3.448,100.0
106162,Humanities,Senior,2.559,0.76,Summarizing_Reading,2.714,67.83
106163,STEM,Senior,3.085,40.0,Direct_Answer_Generation,2.345,57.59
106164,Humanities,Graduate,3.29,2.12,Debugging/Troubleshooting,3.552,75.98
106165,STEM,Sophomore,3.286,25.15,Summarizing_Reading,3.92,77.84
106166,Humanities,Freshman,3.469,33.21,Direct_Answer_Generation,3.221,46.58
106167,Humanities,Freshman,3.175,20.35,Summarizing_Reading,3.276,74.4
106168,Medical,Freshman,3.767,4.35,Summarizing_Reading,4.0,77.35
106169,STEM,Senior,3.603,25.51,Debugging/Troubleshooting,4.0,63.67
106170,STEM,Senior,2.225,10.02,Direct_Answer_Generation,2.316,77.06
106171,STEM,Graduate,2.546,23.34,Debugging/Troubleshooting,2.771,73.22
106172,Business,Sophomore,2.269,16.33,Ideation,2.477,79.83
106173,STEM,Senior,2.996,16.92,Debugging/Troubleshooting,2.951,63.14
106174,Arts,Freshman,3.631,1.85,Summarizing_Reading,3.658,77.87
106175,Business,Graduate,2.249,25.89,Summarizing_Reading,2.295,65.81
106176,Business,Freshman,2.814,19.16,Summarizing_Reading,2.828,76.64
106177,Business,Senior,3.773,5.39,Ideation,4.0,84.03
106178,STEM,Sophomore,3.452,2.76,Debugging/Troubleshooting,3.389,55.42
106179,STEM,Freshman,3.635,9.5,Debugging/Troubleshooting,4.0,92.17
106180,Humanities,Senior,3.334,5.71,Direct_Answer_Generation,3.37,69.78
106181,Business,Graduate,3.202,3.98,Ideation,3.228,97.94
106182,STEM,Senior,3.449,2.91,Ideation,3.826,76.48
106183,STEM,Sophomore,3.637,2.7,Debugging/Troubleshooting,4.0,66.32
106184,Medical,Sophomore,3.548,4.06,Copywriting/Drafting,3.882,51.87
106185,STEM,Freshman,3.085,8.14,Debugging/Troubleshooting,2.966,35.9
106186,Arts,Senior,2.803,1.96,Copywriting/Drafting,3.013,75.6
106187,Arts,Freshman,2.977,6.64,Ideation,3.054,86.5
106188,STEM,Graduate,3.425,4.93,Debugging/Troubleshooting,3.741,70.89
106189,STEM,Junior,3.578,26.49,Direct_Answer_Generation,3.657,43.54
106190,STEM,Junior,3.377,1.45,Debugging/Troubleshooting,3.468,94.8
106191,Business,Senior,3.2,2.14,Ideation,3.416,73.03
106192,Business,Senior,3.379,2.83,Ideation,3.689,75.63
106193,Arts,Sophomore,2.104,2.44,Copywriting/Drafting,2.306,73.6
106194,Medical,Sophomore,3.209,16.97,Summarizing_Reading,3.251,82.42
106195,Business,Freshman,3.17,0.36,Ideation,3.114,74.81
106196,STEM,Junior,3.637,8.49,Debugging/Troubleshooting,3.951,68.78
106197,STEM,Freshman,3.874,18.61,Copywriting/Drafting,3.963,99.0
106198,Arts,Senior,3.068,14.84,Copywriting/Drafting,3.023,73.33
106199,STEM,Freshman,3.061,0.47,Summarizing_Reading,3.098,48.39
106200,STEM,Graduate,2.422,10.51,Debugging/Troubleshooting,2.736,81.45
106201,Business,Senior,2.971,30.83,Ideation,3.396,99.1
106202,Humanities,Graduate,3.768,10.89,Copywriting/Drafting,4.0,80.44
106203,Medical,Freshman,3.282,0.69,Direct_Answer_Generation,2.97,75.16
106204,Business,Senior,3.944,29.07,Summarizing_Reading,3.997,77.19
106205,STEM,Graduate,3.441,17.62,Summarizing_Reading,3.715,100.0
106206,Medical,Freshman,3.811,4.89,Direct_Answer_Generation,4.0,67.05
106207,STEM,Graduate,3.07,10.52,Debugging/Troubleshooting,3.327,87.17
106208,Humanities,Sophomore,2.926,2.72,Copywriting/Drafting,3.079,75.45
106209,Humanities,Freshman,3.519,4.63,Copywriting/Drafting,3.738,84.86
106210,STEM,Sophomore,2.769,2.82,Copywriting/Drafting,3.086,70.66
106211,Humanities,Freshman,2.62,9.09,Summarizing_Reading,2.676,81.28
106212,STEM,Graduate,2.594,8.26,Debugging/Troubleshooting,3.162,100.0
106213,Humanities,Sophomore,3.321,2.06,Direct_Answer_Generation,3.813,62.88
106214,Humanities,Junior,2.9,11.33,Summarizing_Reading,2.79,46.97
106215,Arts,Junior,3.83,19.49,Copywriting/Drafting,3.842,75.06
106216,Arts,Senior,2.135,6.27,Debugging/Troubleshooting,2.659,92.93
106217,STEM,Sophomore,3.217,12.67,Summarizing_Reading,3.504,55.34
106218,Humanities,Senior,3.71,1.26,Copywriting/Drafting,4.0,76.91
106219,Humanities,Freshman,2.908,12.02,Copywriting/Drafting,2.921,87.49
106220,STEM,Senior,2.616,2.23,Summarizing_Reading,2.877,66.62
106221,Arts,Graduate,3.377,20.91,Direct_Answer_Generation,3.167,75.61
106222,Business,Freshman,3.497,2.22,Direct_Answer_Generation,3.913,75.63
106223,STEM,Freshman,2.89,19.6,Copywriting/Drafting,2.716,61.01
106224,Humanities,Junior,3.055,0.04,Copywriting/Drafting,3.282,93.6
106225,STEM,Freshman,3.251,2.77,Copywriting/Drafting,3.452,52.97
106226,Business,Freshman,2.897,12.68,Ideation,3.212,77.06
106227,STEM,Freshman,3.389,26.11,Ideation,3.442,54.07
106228,Medical,Junior,3.509,6.28,Summarizing_Reading,3.892,57.99
106229,Arts,Sophomore,3.205,4.16,Copywriting/Drafting,3.162,78.11
106230,Humanities,Junior,2.398,1.91,Ideation,2.808,81.47
106231,Business,Junior,3.166,8.55,Ideation,3.522,60.25
106232,Medical,Senior,3.507,0.27,Direct_Answer_Generation,3.479,56.51
106233,Business,Graduate,3.392,0.54,Summarizing_Reading,3.888,100.0
106234,STEM,Junior,3.656,4.92,Debugging/Troubleshooting,3.833,84.86
106235,Humanities,Sophomore,3.291,31.02,Direct_Answer_Generation,2.367,44.02
106236,Arts,Sophomore,3.936,19.3,Ideation,4.0,71.1
106237,Business,Junior,3.634,3.48,Summarizing_Reading,3.896,83.72
106238,Business,Graduate,2.819,6.4,Summarizing_Reading,3.329,76.92
106239,Arts,Senior,2.623,4.68,Copywriting/Drafting,2.756,46.36
106240,Medical,Freshman,2.171,10.6,Summarizing_Reading,2.47,68.04
106241,Medical,Graduate,3.236,2.72,Summarizing_Reading,3.597,94.11
106242,STEM,Senior,2.851,1.39,Debugging/Troubleshooting,2.948,73.79
106243,Business,Freshman,3.523,4.41,Debugging/Troubleshooting,4.0,59.35
106244,Business,Senior,3.579,1.51,Ideation,3.754,74.97
